GameCode,DateFormat,Hour,TablesOcc,TablesOpen,TablesClosed,HeadCount,DayOfWeek,DayNumber
C4,8/1/2011,0,1,1,0,2,2,1
C4,8/1/2011,1,1,1,0,3,2,1
C4,8/1/2011,2,1,1,0,1,2,1
C4,8/1/2011,3,0,0,1,0,2,1
C4,8/1/2011,4,0,0,1,0,2,1
C4,8/1/2011,5,0,0,1,0,2,1
C4,8/1/2011,6,0,0,1,0,2,1
C4,8/1/2011,7,0,0,1,0,2,1
C4,8/1/2011,8,0,0,1,0,2,1
C4,8/1/2011,9,0,0,1,0,2,1
C4,8/1/2011,10,0,0,1,0,2,1
C4,8/1/2011,11,0,0,1,0,2,1
C4,8/1/2011,12,1,1,0,3,2,1
C4,8/1/2011,13,1,1,0,2,2,1
C4,8/1/2011,14,1,1,0,5,2,1
C4,8/1/2011,15,1,1,0,5,2,1
C4,8/1/2011,16,1,1,0,5,2,1
C4,8/1/2011,17,1,1,0,5,2,1
C4,8/1/2011,18,1,1,0,3,2,1
C4,8/1/2011,19,1,1,0,6,2,1
C4,8/1/2011,20,1,1,0,5,2,1
C4,8/1/2011,21,1,1,0,5,2,1
C4,8/1/2011,22,1,1,0,5,2,1
C4,8/1/2011,23,1,1,0,5,2,1
CR,8/1/2011,0,5,5,1,40,2,1
CR,8/1/2011,1,3,3,3,11,2,1
CR,8/1/2011,2,2,3,3,15,2,1
CR,8/1/2011,3,1,1,5,9,2,1
CR,8/1/2011,4,1,1,5,4,2,1
CR,8/1/2011,5,1,1,5,5,2,1
CR,8/1/2011,6,1,1,5,12,2,1
CR,8/1/2011,7,1,1,5,2,2,1
CR,8/1/2011,8,1,1,5,5,2,1
CR,8/1/2011,9,1,1,5,12,2,1
CR,8/1/2011,10,1,1,5,6,2,1
CR,8/1/2011,11,2,2,4,19,2,1
CR,8/1/2011,12,2,3,3,14,2,1
CR,8/1/2011,13,2,3,3,10,2,1
CR,8/1/2011,14,3,3,3,23,2,1
CR,8/1/2011,15,3,3,3,22,2,1
CR,8/1/2011,16,3,3,3,19,2,1
CR,8/1/2011,17,3,3,3,24,2,1
CR,8/1/2011,18,2,3,3,10,2,1
CR,8/1/2011,19,3,3,3,18,2,1
CR,8/1/2011,20,2,3,3,22,2,1
CR,8/1/2011,21,3,3,3,24,2,1
CR,8/1/2011,22,4,4,2,33,2,1
CR,8/1/2011,23,4,4,2,26,2,1
DH,8/1/2011,0,5,5,1,16,2,1
DH,8/1/2011,1,5,5,1,18,2,1
DH,8/1/2011,2,4,4,2,10,2,1
DH,8/1/2011,3,2,2,4,4,2,1
DH,8/1/2011,4,1,2,4,2,2,1
DH,8/1/2011,5,1,2,4,2,2,1
DH,8/1/2011,6,0,2,4,0,2,1
DH,8/1/2011,7,0,2,4,0,2,1
DH,8/1/2011,8,1,2,4,5,2,1
DH,8/1/2011,9,1,2,4,2,2,1
DH,8/1/2011,10,1,2,4,5,2,1
DH,8/1/2011,11,1,3,3,3,2,1
DH,8/1/2011,12,3,3,3,8,2,1
DH,8/1/2011,13,3,4,2,5,2,1
DH,8/1/2011,14,3,4,2,9,2,1
DH,8/1/2011,15,2,4,2,5,2,1
DH,8/1/2011,16,3,4,2,8,2,1
DH,8/1/2011,17,4,4,2,15,2,1
DH,8/1/2011,18,4,4,2,13,2,1
DH,8/1/2011,19,2,4,2,4,2,1
DH,8/1/2011,20,3,5,1,11,2,1
DH,8/1/2011,21,5,5,1,17,2,1
DH,8/1/2011,22,5,5,1,16,2,1
DH,8/1/2011,23,4,5,1,12,2,1
C4,8/2/2011,0,1,1,0,5,3,2
C4,8/2/2011,1,1,1,0,5,3,2
C4,8/2/2011,2,1,1,0,3,3,2
C4,8/2/2011,3,0,0,1,0,3,2
C4,8/2/2011,4,0,0,1,0,3,2
C4,8/2/2011,5,0,0,1,0,3,2
C4,8/2/2011,6,0,0,1,0,3,2
C4,8/2/2011,7,0,0,1,0,3,2
C4,8/2/2011,8,0,0,1,0,3,2
C4,8/2/2011,9,0,0,1,0,3,2
C4,8/2/2011,10,0,0,1,0,3,2
C4,8/2/2011,11,0,0,1,0,3,2
C4,8/2/2011,12,1,1,0,3,3,2
C4,8/2/2011,13,1,1,0,3,3,2
C4,8/2/2011,14,1,1,0,4,3,2
C4,8/2/2011,15,1,1,0,1,3,2
C4,8/2/2011,16,0,1,0,0,3,2
C4,8/2/2011,17,1,1,0,3,3,2
C4,8/2/2011,18,1,1,0,1,3,2
C4,8/2/2011,19,1,1,0,2,3,2
C4,8/2/2011,20,1,1,0,6,3,2
C4,8/2/2011,21,1,1,0,6,3,2
C4,8/2/2011,22,1,1,0,6,3,2
C4,8/2/2011,23,1,1,0,6,3,2
CR,8/2/2011,0,4,4,2,19,3,2
CR,8/2/2011,1,3,3,3,17,3,2
CR,8/2/2011,2,2,2,4,9,3,2
CR,8/2/2011,3,1,1,5,8,3,2
CR,8/2/2011,4,1,1,5,5,3,2
CR,8/2/2011,5,1,1,5,3,3,2
CR,8/2/2011,6,1,1,5,1,3,2
CR,8/2/2011,7,1,1,5,1,3,2
CR,8/2/2011,8,0,1,5,0,3,2
CR,8/2/2011,9,0,1,5,0,3,2
CR,8/2/2011,10,1,1,5,1,3,2
CR,8/2/2011,11,1,2,4,1,3,2
CR,8/2/2011,12,3,3,3,9,3,2
CR,8/2/2011,13,3,3,3,19,3,2
CR,8/2/2011,14,3,3,3,17,3,2
CR,8/2/2011,15,3,3,3,24,3,2
CR,8/2/2011,16,3,3,3,27,3,2
CR,8/2/2011,17,3,3,3,24,3,2
CR,8/2/2011,18,3,3,3,19,3,2
CR,8/2/2011,19,3,3,3,10,3,2
CR,8/2/2011,20,3,3,3,11,3,2
CR,8/2/2011,21,3,3,3,15,3,2
CR,8/2/2011,22,4,4,2,29,3,2
CR,8/2/2011,23,4,4,2,25,3,2
DH,8/2/2011,0,5,5,1,18,3,2
DH,8/2/2011,1,4,5,1,17,3,2
DH,8/2/2011,2,3,5,1,10,3,2
DH,8/2/2011,3,2,4,2,6,3,2
DH,8/2/2011,4,1,2,4,5,3,2
DH,8/2/2011,5,2,2,4,4,3,2
DH,8/2/2011,6,1,2,4,2,3,2
DH,8/2/2011,7,2,2,4,2,3,2
DH,8/2/2011,8,2,2,4,3,3,2
DH,8/2/2011,9,2,2,4,4,3,2
DH,8/2/2011,10,1,2,4,2,3,2
DH,8/2/2011,11,2,2,4,2,3,2
DH,8/2/2011,12,2,3,3,6,3,2
DH,8/2/2011,13,2,3,3,6,3,2
DH,8/2/2011,14,3,3,3,4,3,2
DH,8/2/2011,15,3,3,3,5,3,2
DH,8/2/2011,16,3,3,3,7,3,2
DH,8/2/2011,17,2,3,3,9,3,2
DH,8/2/2011,18,2,3,3,9,3,2
DH,8/2/2011,19,2,3,3,6,3,2
DH,8/2/2011,20,4,5,1,11,3,2
DH,8/2/2011,21,5,5,1,15,3,2
DH,8/2/2011,22,4,5,1,16,3,2
DH,8/2/2011,23,5,5,1,14,3,2
C4,8/3/2011,0,1,1,0,5,4,3
C4,8/3/2011,1,1,1,0,4,4,3
C4,8/3/2011,2,1,1,0,5,4,3
C4,8/3/2011,3,1,1,0,1,4,3
C4,8/3/2011,4,1,1,0,3,4,3
C4,8/3/2011,5,0,0,1,0,4,3
C4,8/3/2011,6,0,0,1,0,4,3
C4,8/3/2011,7,0,0,1,0,4,3
C4,8/3/2011,8,0,0,1,0,4,3
C4,8/3/2011,9,0,0,1,0,4,3
C4,8/3/2011,10,0,0,1,0,4,3
C4,8/3/2011,11,0,0,1,0,4,3
C4,8/3/2011,12,0,0,1,0,4,3
C4,8/3/2011,13,0,0,1,0,4,3
C4,8/3/2011,14,1,1,0,1,4,3
C4,8/3/2011,15,1,1,0,4,4,3
C4,8/3/2011,16,1,1,0,1,4,3
C4,8/3/2011,17,1,1,0,3,4,3
C4,8/3/2011,18,0,1,0,0,4,3
C4,8/3/2011,19,1,1,0,2,4,3
C4,8/3/2011,20,1,1,0,2,4,3
C4,8/3/2011,21,1,1,0,5,4,3
C4,8/3/2011,22,1,1,0,3,4,3
C4,8/3/2011,23,1,1,0,6,4,3
CR,8/3/2011,0,3,4,2,17,4,3
CR,8/3/2011,1,3,3,3,15,4,3
CR,8/3/2011,2,2,2,4,8,4,3
CR,8/3/2011,3,1,1,5,5,4,3
CR,8/3/2011,4,1,1,5,4,4,3
CR,8/3/2011,5,1,1,5,2,4,3
CR,8/3/2011,6,1,1,5,4,4,3
CR,8/3/2011,7,1,1,5,4,4,3
CR,8/3/2011,8,1,1,5,3,4,3
CR,8/3/2011,9,1,1,5,5,4,3
CR,8/3/2011,10,1,1,5,5,4,3
CR,8/3/2011,11,2,3,3,13,4,3
CR,8/3/2011,12,3,3,3,15,4,3
CR,8/3/2011,13,3,3,3,14,4,3
CR,8/3/2011,14,2,3,3,10,4,3
CR,8/3/2011,15,2,3,3,8,4,3
CR,8/3/2011,16,3,3,3,21,4,3
CR,8/3/2011,17,3,3,3,18,4,3
CR,8/3/2011,18,3,3,3,23,4,3
CR,8/3/2011,19,3,3,3,14,4,3
CR,8/3/2011,20,4,4,2,20,4,3
CR,8/3/2011,21,4,4,2,24,4,3
CR,8/3/2011,22,4,4,2,29,4,3
CR,8/3/2011,23,4,4,2,30,4,3
DH,8/3/2011,0,4,5,1,17,4,3
DH,8/3/2011,1,4,5,1,15,4,3
DH,8/3/2011,2,4,5,1,6,4,3
DH,8/3/2011,3,2,4,2,3,4,3
DH,8/3/2011,4,1,3,3,4,4,3
DH,8/3/2011,5,1,2,4,1,4,3
DH,8/3/2011,6,1,2,4,2,4,3
DH,8/3/2011,7,1,2,4,1,4,3
DH,8/3/2011,8,1,2,4,2,4,3
DH,8/3/2011,9,1,2,4,2,4,3
DH,8/3/2011,10,1,2,4,2,4,3
DH,8/3/2011,11,2,3,3,2,4,3
DH,8/3/2011,12,2,3,3,4,4,3
DH,8/3/2011,13,2,3,3,5,4,3
DH,8/3/2011,14,2,3,3,6,4,3
DH,8/3/2011,15,3,3,3,9,4,3
DH,8/3/2011,16,2,3,3,4,4,3
DH,8/3/2011,17,3,3,3,5,4,3
DH,8/3/2011,18,3,3,3,6,4,3
DH,8/3/2011,19,3,4,2,11,4,3
DH,8/3/2011,20,4,5,1,5,4,3
DH,8/3/2011,21,5,5,1,13,4,3
DH,8/3/2011,22,4,5,1,12,4,3
DH,8/3/2011,23,5,5,1,12,4,3
C4,8/4/2011,0,1,1,0,5,5,4
C4,8/4/2011,1,1,1,0,5,5,4
C4,8/4/2011,2,1,1,0,3,5,4
C4,8/4/2011,3,1,1,0,1,5,4
C4,8/4/2011,4,1,1,0,1,5,4
C4,8/4/2011,5,0,0,1,0,5,4
C4,8/4/2011,6,0,0,1,0,5,4
C4,8/4/2011,7,0,0,1,0,5,4
C4,8/4/2011,8,0,0,1,0,5,4
C4,8/4/2011,9,0,0,1,0,5,4
C4,8/4/2011,10,0,0,1,0,5,4
C4,8/4/2011,11,0,0,1,0,5,4
C4,8/4/2011,12,0,0,1,0,5,4
C4,8/4/2011,13,0,1,0,0,5,4
C4,8/4/2011,14,1,1,0,2,5,4
C4,8/4/2011,15,1,1,0,4,5,4
C4,8/4/2011,16,1,1,0,4,5,4
C4,8/4/2011,17,1,1,0,5,5,4
C4,8/4/2011,18,1,1,0,6,5,4
C4,8/4/2011,19,1,1,0,2,5,4
C4,8/4/2011,20,1,1,0,5,5,4
C4,8/4/2011,21,1,1,0,4,5,4
C4,8/4/2011,22,1,1,0,5,5,4
C4,8/4/2011,23,1,1,0,4,5,4
CR,8/4/2011,0,3,3,3,13,5,4
CR,8/4/2011,1,3,3,3,12,5,4
CR,8/4/2011,2,3,3,3,11,5,4
CR,8/4/2011,3,1,1,5,1,5,4
CR,8/4/2011,4,1,1,5,3,5,4
CR,8/4/2011,5,1,1,5,3,5,4
CR,8/4/2011,6,1,1,5,12,5,4
CR,8/4/2011,7,1,1,5,2,5,4
CR,8/4/2011,8,0,1,5,0,5,4
CR,8/4/2011,9,1,1,5,12,5,4
CR,8/4/2011,10,1,1,5,9,5,4
CR,8/4/2011,11,3,3,3,31,5,4
CR,8/4/2011,12,3,3,3,11,5,4
CR,8/4/2011,13,2,3,3,16,5,4
CR,8/4/2011,14,3,3,3,25,5,4
CR,8/4/2011,15,3,3,3,21,5,4
CR,8/4/2011,16,3,3,3,21,5,4
CR,8/4/2011,17,2,3,3,12,5,4
CR,8/4/2011,18,3,3,3,18,5,4
CR,8/4/2011,19,3,3,3,20,5,4
CR,8/4/2011,20,3,3,3,24,5,4
CR,8/4/2011,21,4,4,2,22,5,4
CR,8/4/2011,22,5,5,1,19,5,4
CR,8/4/2011,23,5,5,1,38,5,4
DH,8/4/2011,0,3,5,1,10,5,4
DH,8/4/2011,1,5,5,1,9,5,4
DH,8/4/2011,2,4,4,2,10,5,4
DH,8/4/2011,3,3,3,3,6,5,4
DH,8/4/2011,4,3,3,3,6,5,4
DH,8/4/2011,5,3,3,3,5,5,4
DH,8/4/2011,6,2,3,3,2,5,4
DH,8/4/2011,7,2,2,4,2,5,4
DH,8/4/2011,8,2,2,4,10,5,4
DH,8/4/2011,9,2,2,4,4,5,4
DH,8/4/2011,10,2,2,4,6,5,4
DH,8/4/2011,11,2,2,4,5,5,4
DH,8/4/2011,12,3,3,3,9,5,4
DH,8/4/2011,13,3,3,3,4,5,4
DH,8/4/2011,14,2,3,3,5,5,4
DH,8/4/2011,15,3,3,3,4,5,4
DH,8/4/2011,16,2,3,3,4,5,4
DH,8/4/2011,17,2,3,3,4,5,4
DH,8/4/2011,18,2,3,3,3,5,4
DH,8/4/2011,19,2,3,3,8,5,4
DH,8/4/2011,20,2,5,1,5,5,4
DH,8/4/2011,21,1,5,1,2,5,4
DH,8/4/2011,22,1,4,2,3,5,4
DH,8/4/2011,23,3,4,2,7,5,4
C4,8/5/2011,0,1,1,0,3,6,5
C4,8/5/2011,1,1,1,0,3,6,5
C4,8/5/2011,2,1,1,0,2,6,5
C4,8/5/2011,3,0,1,0,0,6,5
C4,8/5/2011,4,0,1,0,0,6,5
C4,8/5/2011,5,0,0,1,0,6,5
C4,8/5/2011,6,0,0,1,0,6,5
C4,8/5/2011,7,0,0,1,0,6,5
C4,8/5/2011,8,0,0,1,0,6,5
C4,8/5/2011,9,0,0,1,0,6,5
C4,8/5/2011,10,0,0,1,0,6,5
C4,8/5/2011,11,0,0,1,0,6,5
C4,8/5/2011,12,1,1,0,2,6,5
C4,8/5/2011,13,1,1,0,4,6,5
C4,8/5/2011,14,1,1,0,4,6,5
C4,8/5/2011,15,0,1,0,0,6,5
C4,8/5/2011,16,0,1,0,0,6,5
C4,8/5/2011,17,1,1,0,1,6,5
C4,8/5/2011,18,1,1,0,1,6,5
C4,8/5/2011,19,1,1,0,1,6,5
C4,8/5/2011,20,1,1,0,5,6,5
C4,8/5/2011,21,1,1,0,4,6,5
C4,8/5/2011,22,1,1,0,3,6,5
C4,8/5/2011,23,1,1,0,1,6,5
CR,8/5/2011,0,4,4,2,29,6,5
CR,8/5/2011,1,4,4,2,37,6,5
CR,8/5/2011,2,4,4,2,19,6,5
CR,8/5/2011,3,2,2,4,10,6,5
CR,8/5/2011,4,2,2,4,11,6,5
CR,8/5/2011,5,1,1,5,15,6,5
CR,8/5/2011,6,1,1,5,12,6,5
CR,8/5/2011,7,1,1,5,4,6,5
CR,8/5/2011,8,1,1,5,12,6,5
CR,8/5/2011,9,1,1,5,1,6,5
CR,8/5/2011,10,2,2,4,7,6,5
CR,8/5/2011,11,3,3,3,22,6,5
CR,8/5/2011,12,3,3,3,25,6,5
CR,8/5/2011,13,4,4,2,20,6,5
CR,8/5/2011,14,3,4,2,23,6,5
CR,8/5/2011,15,4,4,2,24,6,5
CR,8/5/2011,16,4,4,2,28,6,5
CR,8/5/2011,17,4,4,2,34,6,5
CR,8/5/2011,18,4,4,2,29,6,5
CR,8/5/2011,19,4,4,2,46,6,5
CR,8/5/2011,20,4,5,1,23,6,5
CR,8/5/2011,21,6,6,0,32,6,5
CR,8/5/2011,22,6,6,0,37,6,5
CR,8/5/2011,23,6,6,0,33,6,5
DH,8/5/2011,0,3,4,2,8,6,5
DH,8/5/2011,1,3,4,2,7,6,5
DH,8/5/2011,2,3,4,2,5,6,5
DH,8/5/2011,3,2,3,3,4,6,5
DH,8/5/2011,4,1,3,3,1,6,5
DH,8/5/2011,5,2,3,3,4,6,5
DH,8/5/2011,6,1,3,3,2,6,5
DH,8/5/2011,7,2,2,4,4,6,5
DH,8/5/2011,8,2,2,4,6,6,5
DH,8/5/2011,9,2,2,4,7,6,5
DH,8/5/2011,10,2,2,4,7,6,5
DH,8/5/2011,11,2,2,4,8,6,5
DH,8/5/2011,12,2,4,2,7,6,5
DH,8/5/2011,13,3,5,1,9,6,5
DH,8/5/2011,14,3,5,1,3,6,5
DH,8/5/2011,15,3,5,1,3,6,5
DH,8/5/2011,16,4,5,1,9,6,5
DH,8/5/2011,17,2,5,1,3,6,5
DH,8/5/2011,18,3,5,1,5,6,5
DH,8/5/2011,19,2,5,1,3,6,5
DH,8/5/2011,20,4,5,1,6,6,5
DH,8/5/2011,21,5,5,1,12,6,5
DH,8/5/2011,22,5,5,1,14,6,5
DH,8/5/2011,23,5,5,1,6,6,5
C4,8/6/2011,0,1,1,0,1,7,6
C4,8/6/2011,1,0,1,0,0,7,6
C4,8/6/2011,2,1,1,0,1,7,6
C4,8/6/2011,3,0,1,0,0,7,6
C4,8/6/2011,4,1,1,0,3,7,6
C4,8/6/2011,5,0,0,1,0,7,6
C4,8/6/2011,6,0,0,1,0,7,6
C4,8/6/2011,7,0,0,1,0,7,6
C4,8/6/2011,8,0,1,0,0,7,6
C4,8/6/2011,9,0,1,0,0,7,6
C4,8/6/2011,10,1,1,0,2,7,6
C4,8/6/2011,11,1,1,0,1,7,6
C4,8/6/2011,12,1,1,0,5,7,6
C4,8/6/2011,13,1,1,0,2,7,6
C4,8/6/2011,14,1,1,0,3,7,6
C4,8/6/2011,15,1,1,0,2,7,6
C4,8/6/2011,16,1,1,0,3,7,6
C4,8/6/2011,17,1,1,0,3,7,6
C4,8/6/2011,18,1,1,0,3,7,6
C4,8/6/2011,19,1,1,0,1,7,6
C4,8/6/2011,20,0,1,0,0,7,6
C4,8/6/2011,21,0,1,0,0,7,6
C4,8/6/2011,22,1,1,0,3,7,6
C4,8/6/2011,23,1,1,0,2,7,6
CR,8/6/2011,0,6,6,0,42,7,6
CR,8/6/2011,1,6,6,0,40,7,6
CR,8/6/2011,2,6,6,0,33,7,6
CR,8/6/2011,3,4,4,2,27,7,6
CR,8/6/2011,4,3,3,3,14,7,6
CR,8/6/2011,5,2,3,3,7,7,6
CR,8/6/2011,6,1,3,3,12,7,6
CR,8/6/2011,7,1,1,5,6,7,6
CR,8/6/2011,8,1,1,5,5,7,6
CR,8/6/2011,9,1,1,5,6,7,6
CR,8/6/2011,10,2,2,4,17,7,6
CR,8/6/2011,11,3,3,3,15,7,6
CR,8/6/2011,12,4,4,2,27,7,6
CR,8/6/2011,13,5,5,1,33,7,6
CR,8/6/2011,14,5,5,1,33,7,6
CR,8/6/2011,15,5,5,1,33,7,6
CR,8/6/2011,16,5,5,1,39,7,6
CR,8/6/2011,17,5,5,1,32,7,6
CR,8/6/2011,18,5,5,1,32,7,6
CR,8/6/2011,19,5,5,1,19,7,6
CR,8/6/2011,20,5,5,1,35,7,6
CR,8/6/2011,21,6,6,0,40,7,6
CR,8/6/2011,22,6,6,0,45,7,6
CR,8/6/2011,23,6,6,0,42,7,6
DH,8/6/2011,0,4,5,1,14,7,6
DH,8/6/2011,1,3,5,1,6,7,6
DH,8/6/2011,2,4,5,1,7,7,6
DH,8/6/2011,3,3,4,2,7,7,6
DH,8/6/2011,4,2,4,2,2,7,6
DH,8/6/2011,5,2,4,2,2,7,6
DH,8/6/2011,6,1,4,2,2,7,6
DH,8/6/2011,7,1,4,2,2,7,6
DH,8/6/2011,8,3,4,2,3,7,6
DH,8/6/2011,9,3,4,2,7,7,6
DH,8/6/2011,10,3,4,2,4,7,6
DH,8/6/2011,11,4,4,2,12,7,6
DH,8/6/2011,12,3,5,1,6,7,6
DH,8/6/2011,13,2,5,1,2,7,6
DH,8/6/2011,14,4,5,1,9,7,6
DH,8/6/2011,15,5,5,1,8,7,6
DH,8/6/2011,16,5,5,1,12,7,6
DH,8/6/2011,17,4,5,1,10,7,6
DH,8/6/2011,18,4,5,1,14,7,6
DH,8/6/2011,19,4,5,1,12,7,6
DH,8/6/2011,20,5,5,1,15,7,6
DH,8/6/2011,21,5,5,1,21,7,6
DH,8/6/2011,22,3,5,1,12,7,6
DH,8/6/2011,23,5,5,1,16,7,6
C4,8/7/2011,0,1,1,0,4,1,7
C4,8/7/2011,1,1,1,0,3,1,7
C4,8/7/2011,2,1,1,0,5,1,7
C4,8/7/2011,3,1,1,0,2,1,7
C4,8/7/2011,4,0,1,0,0,1,7
C4,8/7/2011,5,1,1,0,5,1,7
C4,8/7/2011,6,0,1,0,0,1,7
C4,8/7/2011,7,0,1,0,0,1,7
C4,8/7/2011,8,0,1,0,0,1,7
C4,8/7/2011,9,0,1,0,0,1,7
C4,8/7/2011,10,0,0,1,0,1,7
C4,8/7/2011,11,0,0,1,0,1,7
C4,8/7/2011,12,0,1,0,0,1,7
C4,8/7/2011,13,1,1,0,4,1,7
C4,8/7/2011,14,1,1,0,4,1,7
C4,8/7/2011,15,0,1,0,0,1,7
C4,8/7/2011,16,1,1,0,2,1,7
C4,8/7/2011,17,1,1,0,1,1,7
C4,8/7/2011,18,0,1,0,0,1,7
C4,8/7/2011,19,1,1,0,1,1,7
C4,8/7/2011,20,1,1,0,2,1,7
C4,8/7/2011,21,1,1,0,2,1,7
C4,8/7/2011,22,1,1,0,5,1,7
C4,8/7/2011,23,1,1,0,2,1,7
CR,8/7/2011,0,6,6,0,55,1,7
CR,8/7/2011,1,6,6,0,36,1,7
CR,8/7/2011,2,5,5,1,39,1,7
CR,8/7/2011,3,3,3,3,12,1,7
CR,8/7/2011,4,2,3,3,17,1,7
CR,8/7/2011,5,2,2,4,24,1,7
CR,8/7/2011,6,2,2,4,24,1,7
CR,8/7/2011,7,2,2,4,7,1,7
CR,8/7/2011,8,2,2,4,6,1,7
CR,8/7/2011,9,2,2,4,9,1,7
CR,8/7/2011,10,2,2,4,12,1,7
CR,8/7/2011,11,3,3,3,17,1,7
CR,8/7/2011,12,4,4,2,24,1,7
CR,8/7/2011,13,4,4,2,34,1,7
CR,8/7/2011,14,4,4,2,33,1,7
CR,8/7/2011,15,4,4,2,32,1,7
CR,8/7/2011,16,4,4,2,32,1,7
CR,8/7/2011,17,4,4,2,28,1,7
CR,8/7/2011,18,4,4,2,25,1,7
CR,8/7/2011,19,4,4,2,25,1,7
CR,8/7/2011,20,4,4,2,38,1,7
CR,8/7/2011,21,5,5,1,40,1,7
CR,8/7/2011,22,5,5,1,42,1,7
CR,8/7/2011,23,5,5,1,44,1,7
DH,8/7/2011,0,5,5,1,16,1,7
